"","V1.1","V1.2","V2.1","V2.2","V3.1","V3.2","V4.1","V4.2","V5.1","V5.2","V6.1","V6.2","V7.1","V7.2","V8.1","V8.2","V9.1","V9.2","V10.1","V10.2","V11.1","V11.2","V12.1","V12.2","V13.1","V13.2"
"278",2,NA,12,NA,0.92,NA,2,NA,19,NA,86,NA,2.42,NA,2.26,NA,0.3,NA,1.43,NA,2.5,NA,1.38,NA,3.12,NA
"315",2,NA,12.42,NA,2.55,NA,2.27,NA,22,NA,90,NA,1.68,NA,1.84,NA,0.66,NA,1.42,NA,2.7,NA,0.86,NA,3.3,NA
"325",2,NA,12.52,NA,2.43,NA,2.17,NA,21,NA,88,NA,2.55,NA,2.27,NA,0.26,NA,1.22,NA,2,NA,0.9,NA,2.78,NA
"345",2,NA,11.62,NA,1.99,NA,2.28,NA,18,NA,98,NA,3.02,NA,2.26,NA,0.17,NA,1.35,NA,3.25,NA,1.16,NA,2.96,NA
"352",2,NA,12.43,NA,1.53,NA,2.29,NA,21.5,NA,86,NA,2.74,NA,3.15,NA,0.39,NA,1.77,NA,3.94,NA,0.69,NA,2.84,NA
"355",2,NA,12.17,NA,1.45,NA,2.53,NA,19,NA,104,NA,1.89,NA,1.75,NA,0.45,NA,1.03,NA,2.95,NA,1.45,NA,2.23,NA
"365",2,NA,12.42,NA,4.43,NA,2.73,NA,26.5,NA,102,NA,2.2,NA,2.13,NA,0.43,NA,1.71,NA,2.08,NA,0.92,NA,3.12,NA
"372",2,NA,12.77,NA,3.43,NA,1.98,NA,16,NA,80,NA,1.63,NA,1.25,NA,0.43,NA,0.83,NA,3.4,NA,0.7,NA,2.12,NA
"378",2,NA,12.07,NA,2.16,NA,2.17,NA,21,NA,85,NA,2.6,NA,2.65,NA,0.37,NA,1.35,NA,2.76,NA,0.86,NA,3.28,NA
"380",2,0,12.46,0.834386001800127,5.055,1.05358910396796,2.26,0.183847763108503,21.25,0.353553390593274,84,2.82842712474619,2.74,0.169705627484771,2.84,0.268700576850888,0.255,0.0636396103067893,2.46,0.636396103067893,2.7,0.141421356237309,0.74,0.014142135623731,3.37,0.381837661840736
"385",2,NA,12.08,NA,1.39,NA,2.5,NA,22.5,NA,84,NA,2.56,NA,2.29,NA,0.43,NA,1.04,NA,2.9,NA,0.93,NA,3.19,NA
"392",2,NA,13.03,NA,0.9,NA,1.71,NA,16,NA,86,NA,1.95,NA,2.03,NA,0.24,NA,1.46,NA,4.6,NA,1.19,NA,2.48,NA
"406",2,NA,12.29,NA,3.17,NA,2.21,NA,18,NA,88,NA,2.85,NA,2.99,NA,0.45,NA,2.81,NA,2.3,NA,1.42,NA,2.83,NA
"407",2,NA,11.03,NA,1.51,NA,2.2,NA,21.5,NA,85,NA,2.46,NA,2.17,NA,0.52,NA,2.01,NA,1.9,NA,1.71,NA,2.87,NA
"410",2,NA,13.86,NA,1.51,NA,2.67,NA,25,NA,86,NA,2.95,NA,2.86,NA,0.21,NA,1.87,NA,3.38,NA,1.36,NA,3.16,NA
"415",3,NA,13.88,NA,5.04,NA,2.23,NA,20,NA,80,NA,0.98,NA,0.34,NA,0.4,NA,0.68,NA,4.9,NA,0.58,NA,1.33,NA
"425",3,NA,13.11,NA,1.9,NA,2.75,NA,25.5,NA,116,NA,2.2,NA,1.28,NA,0.26,NA,1.56,NA,7.1,NA,0.61,NA,1.33,NA
"428",2,NA,12.29,NA,1.41,NA,1.98,NA,16,NA,85,NA,2.55,NA,2.5,NA,0.29,NA,1.77,NA,2.9,NA,1.23,NA,2.74,NA
"434",2,NA,11.41,NA,0.74,NA,2.5,NA,21,NA,88,NA,2.48,NA,2.01,NA,0.42,NA,1.44,NA,3.08,NA,1.1,NA,2.31,NA
"438",2,NA,12.34,NA,2.45,NA,2.46,NA,21,NA,98,NA,2.56,NA,2.11,NA,0.34,NA,1.31,NA,2.8,NA,0.8,NA,3.38,NA
"450",2,0,12.335,0.473761543394987,1.245,0.37476659402887,2.33,0.127279220613578,20,2.82842712474619,92.5,9.19238815542512,1.825,0.530330085889911,1.595,0.487903679018718,0.4,0.14142135623731,1.545,0.120208152801713,3.11,0.692964645562817,1.14,0.127279220613579,2.905,0.360624458405139
"463",2,NA,12.7,NA,3.87,NA,2.4,NA,23,NA,101,NA,2.83,NA,2.55,NA,0.43,NA,1.95,NA,2.57,NA,1.19,NA,3.13,NA
"465",2,NA,11.56,NA,2.05,NA,3.23,NA,28.5,NA,119,NA,3.18,NA,5.08,NA,0.47,NA,1.87,NA,6,NA,0.93,NA,3.69,NA
